,Gender,Admit,Dept,Freq,Percentage
0,Female,Admitted,A,89,1.9664162615996466
12,Male,Admitted,A,512,11.312417145382236
18,Male,Rejected,A,313,6.9155987627043745
6,Female,Rejected,A,19,0.4197967300044189
13,Male,Admitted,B,353,7.799381352187362
7,Female,Rejected,B,8,0.17675651789659744
19,Male,Rejected,B,207,4.573574900574458
1,Female,Admitted,B,17,0.37560760053026954
8,Female,Rejected,C,391,8.6389748121962
2,Female,Admitted,C,202,4.4631020768890854
14,Male,Admitted,C,120,2.6513477684489617
20,Male,Rejected,C,205,4.529385771100309
3,Female,Admitted,D,131,2.894387980556783
15,Male,Admitted,D,138,3.0490499337163057
21,Male,Rejected,D,279,6.164383561643835
9,Female,Rejected,D,244,5.391073795846222
4,Female,Admitted,E,94,2.07688908528502
10,Female,Rejected,E,299,6.606274856385329
22,Male,Rejected,E,138,3.0490499337163057
16,Male,Admitted,E,53,1.171011931064958
11,Female,Rejected,F,317,7.003977021652673
5,Female,Admitted,F,24,0.5302695536897923
17,Male,Admitted,F,22,0.48608042421564296
23,Male,Rejected,F,351,7.755192222713212
